,Temp_out_BTES,Temp_into_BTES,,,,,
0,39.85085749,29.85085749,3.97951558e+01],,1.05040123e+12],,39.98473388
1,39.6529972,29.6529972, [ 3.95421009e+01],, [ 1.04271664e+12],,39.94518813
2,39.4518367,29.4518367, [ 3.92862585e+01],, [ 1.03322345e+12],,39.90407466
3,39.23402748,29.23402748, [ 3.90143124e+01],, [ 1.02362570e+12],,39.8547357
4,39.03378388,29.03378388, [ 3.87604407e+01],, [ 1.01342382e+12],,39.81426067
5,38.86114971,28.86114971, [ 3.85346309e+01],, [ 1.00389999e+12],,39.7876437
6,38.71858493,28.71858493, [ 3.83392820e+01],, [ 9.95428888e+11],,39.77608458
7,38.55380105,28.55380105, [ 3.81221491e+01],, [ 9.88100505e+11],,39.75346125
8,38.36179543,28.36179543, [ 3.78782832e+01],, [ 9.79954911e+11],,39.71729952
9,38.17418496,28.17418496, [ 3.76392914e+01],, [ 9.70806445e+11],,39.6834033
10,38.01308534,28.01308534, [ 3.74272354e+01],, [ 9.61840827e+11],,39.66280377
11,37.87242048,27.87242048, [ 3.72359974e+01],, [ 9.53885688e+11],,39.6524424
12,37.7472883,27.7472883, [ 3.70606435e+01],, [ 9.46711523e+11],,39.64985255
13,37.58929141,27.58929141, [ 3.68528413e+01],, [ 9.40133238e+11],,39.63086839
14,37.44160962,27.44160962, [ 3.66557492e+01],, [ 9.32337679e+11],,39.61706944
15,37.29639875,27.29639875, [ 3.64615172e+01],, [ 9.24943901e+11],,39.60453107
16,37.10443611,27.10443611, [ 3.62210155e+01],, [ 9.17657419e+11],,39.56868865
17,36.9089928,26.9089928, [ 3.59775210e+01],, [ 9.08635157e+11],,39.53118106
18,36.72797263,26.72797263, [ 3.57489078e+01],, [ 8.99500626e+11],,39.50094563
19,36.52079646,26.52079646, [ 3.54946482e+01],, [ 8.90924356e+11],,39.45771882
20,36.33272977,26.33272977, [ 3.52599684e+01],, [ 8.81385977e+11],,39.4241141
21,36.14425025,26.14425025, [ 3.50253459e+01],, [ 8.72582119e+11],,39.39037059
22,35.93180825,25.93180825, [ 3.47672780e+01],, [ 8.63780413e+11],,39.34473729
23,35.732851,25.732851, [ 3.45231842e+01],, [ 8.54099173e+11],,39.30592414
24,35.58730921,25.58730921, [ 3.43328871e+01],, [ 8.44942154e+11],,39.29384294
25,35.45094623,25.45094623, [ 3.41521310e+01],, [ 8.37803287e+11],,39.28636612
26,35.2821711,25.2821711, [ 3.39393892e+01],, [ 8.31022345e+11],,39.2627306
27,35.07613448,25.07613448, [ 3.36898859e+01],, [ 8.23041478e+11],,39.22054886
28,34.88117253,24.88117253, [ 3.34519341e+01],, [ 8.13681528e+11],,39.18397774
29,34.67066208,24.67066208, [ 3.31989408e+01],, [ 8.04754926e+11],,39.13972107
30,34.45898531,24.45898531, [ 3.29452895e+01],, [ 7.95264052e+11],,39.09497091
