datetime,heat loss,m_HP,abs m_HP,COP
2019/1/1,-6711910477,-0.9248113,0.9248113,4.60073064
2019/1/2,-8904372998,-1.22690325,1.22690325,4.42795928
2019/1/3,-9052893888,-1.24736743,1.24736743,4.41685316
2019/1/4,-9802141441,-1.3506037,1.3506037,4.36190535
2019/1/5,-9011629974,-1.24168182,1.24168182,4.41993157
2019/1/6,-7769113485,-1.0704797,1.0704797,4.51529788
2019/1/7,-6415890715,-0.88402374,0.88402374,4.6254013
2019/1/8,-7415824301,-1.02180119,1.02180119,4.54339262
2019/1/9,-8640893510,-1.1905993,1.1905993,4.4478405
2019/1/10,-8443096828,-1.16334557,1.16334557,4.46291773
2019/1/11,-7250020384,-0.99895563,0.99895563,4.55673332
2019/1/12,-6330388090,-0.87224263,0.87224263,4.63259024
2019/1/13,-5631365344,-0.77592666,0.77592666,4.69245009
2019/1/14,-7110387388,-0.97971608,0.97971608,4.56804646
2019/1/15,-6646172920,-0.91575354,0.91575354,4.60618025
2019/1/16,-6534973881,-0.90043181,0.90043181,4.61543622
2019/1/17,-8638958978,-1.19033275,1.19033275,4.44798733
2019/1/18,-8795601248,-1.21191596,1.21191596,4.43613895
2019/1/19,-8146511306,-1.12248006,1.12248006,4.48577397
2019/1/20,-9323618743,-1.28466969,1.28466969,4.39679289
2019/1/21,-8463628408,-1.16617455,1.16617455,4.46134656
2019/1/22,-8482207207,-1.16873446,1.16873446,4.45992606
2019/1/23,-9560598805,-1.31732237,1.31732237,4.3794254
2019/1/24,-8953740043,-1.23370536,1.23370536,4.42425971
2019/1/25,-6549866120,-0.90248376,0.90248376,4.61419387
2019/1/26,-6136788975,-0.84556726,0.84556726,4.64897364
2019/1/27,-7595443691,-1.04655033,1.04655033,4.5290528
2019/1/28,-9272335418,-1.27760354,1.27760354,4.40057479
2019/1/29,-8773938150,-1.20893107,1.20893107,4.43777269
2019/1/30,-9473672657,-1.30534511,1.30534511,4.38577526
2019/1/31,-9526160501,-1.31257723,1.31257723,4.38193823
2019/2/1,-9142429828,-1.25970429,1.25970429,4.41019252
2019/2/2,-9471792877,-1.3050861,1.3050861,4.38591284
2019/2/3,-9328163066,-1.28529584,1.28529584,4.39645817
2019/2/4,-7067955455,-0.97386952,0.97386952,4.57149859
2019/2/5,-7028991078,-0.96850075,0.96850075,4.5746745
2019/2/6,-6178253642,-0.85128054,0.85128054,4.64545225
2019/2/7,-6593338320,-0.90847364,0.90847364,4.61057217
2019/2/8,-5715243693,-0.78748397,0.78748397,4.68516334
2019/2/9,-6424650856,-0.88523077,0.88523077,4.62466636
2019/2/10,-7186016604,-0.99013677,0.99013677,4.56191002
2019/2/11,-7296613384,-1.00537552,1.00537552,4.55297428
2019/2/12,-7189246906,-0.99058186,0.99058186,4.56164839
2019/2/13,-6264121274,-0.86311195,0.86311195,4.63818151
2019/2/14,-6969495121,-0.96030301,0.96030301,4.57953481
2019/2/15,-6544938541,-0.9018048,0.9018048,4.61460485
2019/2/16,-5406777231,-0.74498143,0.74498143,4.71210336
2019/2/17,-5590776691,-0.77033409,0.77033409,4.69598651
2019/2/18,-6309546254,-0.8693709,0.8693709,4.63434692
2019/2/19,-6716673804,-0.92546762,0.92546762,4.6003364
2019/2/20,-5946292410,-0.81931939,0.81931939,4.66523936
2019/2/21,-5411668310,-0.74565536,0.74565536,4.71167312
2019/2/22,-6122736249,-0.84363099,0.84363099,4.6501686
2019/2/23,-5659635049,-0.77982185,0.77982185,4.689991
2019/2/24,-6195189915,-0.85361413,0.85361413,4.64401589
2019/2/25,-6472393624,-0.89180909,0.89180909,4.6206662
2019/2/26,-5902382204,-0.81326915,0.81326915,4.66900926
2019/2/27,-6125893550,-0.84406602,0.84406602,4.64990006
2019/2/28,-5870900448,-0.80893139,0.80893139,4.6717169
2019/3/1,-5917475197,-0.81534877,0.81534877,4.66771258
2019/3/2,-5211572091,-0.71808478,0.71808478,4.72935611
2019/3/3,-5333173797,-0.73483986,0.73483986,4.71858985
2019/3/4,-7026563789,-0.96816631,0.96816631,4.57487253
2019/3/5,-6424267600,-0.88517797,0.88517797,4.62469851
2019/3/6,-5118057586,-0.70519973,0.70519973,4.73767812
2019/3/7,-6588994750,-0.90787516,0.90787516,4.61093371
2019/3/8,-6468999069,-0.89134136,0.89134136,4.62095033
2019/3/9,-6131131384,-0.84478772,0.84478772,4.64945463
2019/3/10,-6827088080,-0.94068123,0.94068123,4.59122209
2019/3/11,-6865650951,-0.94599467,0.94599467,4.58804973
2019/3/12,-6516121328,-0.89783418,0.89783418,4.61701018
2019/3/13,-6270581877,-0.86400213,0.86400213,4.63763564
2019/3/14,-5491038837,-0.75659155,0.75659155,4.70470532
2019/3/15,-4723084732,-0.65077777,0.65077777,4.773241
2019/3/16,-5083528031,-0.70044202,0.70044202,4.74076036
2019/3/17,-7039977755,-0.97001457,0.97001457,4.57377843
2019/3/18,-6791536508,-0.9357827,0.9357827,4.59415171
2019/3/19,-5796366249,-0.79866158,0.79866158,4.67814328
2019/3/20,-5021732537,-0.69192743,0.69192743,4.74628916
2019/3/21,-4456557444,-0.61405388,0.61405388,4.79762368
2019/3/22,-4942088255,-0.68095352,0.68095352,4.75343904
2019/3/23,-5778079454,-0.7961419,0.7961419,4.67972342
2019/3/24,-6232767269,-0.85879179,0.85879179,4.64083301
2019/3/25,-6342889541,-0.87396516,0.87396516,4.63153736
2019/3/26,-6551946654,-0.90277043,0.90277043,4.61402037
2019/3/27,-6004675100,-0.82736374,0.82736374,4.66023891
2019/3/28,-5505109813,-0.75853034,0.75853034,4.70347278
2019/3/29,-5384949880,-0.74197391,0.74197391,4.71402459
2019/3/30,-4702279398,-0.64791107,0.64791107,4.77513306
2019/3/31,-5990385120,-0.82539478,0.82539478,4.66146158
2019/4/1,-6227310431,-0.85803991,0.85803991,4.64129487
2019/4/2,-7052807711,-0.97178237,0.97178237,4.57273258
2019/4/3,-7649117805,-1.05394591,1.05394591,4.52479024
2019/4/4,-7212753285,-0.99382072,0.99382072,4.5597457
2019/4/5,-6097313590,-0.84012809,0.84012809,4.6523324
2019/4/6,-6021793875,-0.82972248,0.82972248,4.65877528
2019/4/7,-5306163362,-0.73111819,0.73111819,4.7209759
2019/4/8,-5049034976,-0.69568934,0.69568934,4.74384442
2019/4/9,-5610925015,-0.77311026,0.77311026,4.69423017
2019/4/10,-6586968967,-0.90759603,0.90759603,4.61110236
2019/4/11,-7314060664,-1.00777952,1.00777952,4.55156871
2019/4/12,-7095860154,-0.97771442,0.97771442,4.5692276
2019/4/13,-7452014634,-1.02678773,1.02678773,4.54049402
2019/4/14,-7670890405,-1.05694588,1.05694588,4.5230641
2019/4/15,-6032452047,-0.83119103,0.83119103,4.65786462
2019/4/16,-5218817457,-0.71908309,0.71908309,4.72871289
2019/4/17,-4757121530,-0.65546758,0.65546758,4.77014975
2019/4/18,-4124365600,-0.5682823,0.5682823,4.82845826
2019/4/19,-3741748195,-0.51556275,0.51556275,4.86459978
2019/4/20,-3625566826,-0.49955451,0.49955451,4.87570957
2019/4/21,-3500150808,-0.48227387,0.48227387,4.88777432
2019/4/22,-3426182368,-0.47208201,0.47208201,4.89492521
2019/4/23,-3321973192,-0.45772338,0.45772338,4.90504437
2019/4/24,-4560766621,-0.62841251,0.62841251,4.7880529
2019/4/25,-4851074041,-0.66841298,0.66841298,4.76164311
2019/4/26,-4868795076,-0.6708547,0.6708547,4.76004292
2019/4/27,-5744590166,-0.79152753,0.79152753,4.6826207
2019/4/28,-5063781213,-0.69772118,0.69772118,4.74252531
2019/4/29,-4784460470,-0.65923452,0.65923452,4.76767046
2019/4/30,-4408066414,-0.60737247,0.60737247,4.8020937
2019/5/1,-4316851447,-0.59480427,0.59480427,4.81053069
2019/5/2,-4861275955,-0.66981867,0.66981867,4.76072172
2019/5/3,-5399349362,-0.74395797,0.74395797,4.71275693
2019/5/4,-6490534416,-0.89430864,0.89430864,4.61914858
2019/5/5,-6057746953,-0.83467633,0.83467633,4.65570516
2019/5/6,-5878583821,-0.80999005,0.80999005,4.67105571
2019/5/7,-5060386659,-0.69725345,0.69725345,4.74282889
2019/5/8,-4871550871,-0.67123441,0.67123441,4.75979419
2019/5/9,-5404459444,-0.74466207,0.74466207,4.71230728
2019/5/10,-5099241534,-0.70260713,0.70260713,4.73935708
2019/5/11,-5113057006,-0.70451072,0.70451072,4.73812418
2019/5/12,-4869525088,-0.67095529,0.67095529,4.75997702
2019/5/13,-4744054320,-0.6536671,0.6536671,4.77133592
2019/5/14,-4423944170,-0.60956021,0.60956021,4.80062889
2019/5/15,-3972212903,-0.54731769,0.54731769,4.84274914
2019/5/16,-4472179696,-0.61620642,0.61620642,4.79618582
2019/5/17,-4519666960,-0.62274953,0.62274953,4.79182181
