,Temp_out_BTES
01/01/2019,39.92542875
02/01/2019,39.8264986
03/01/2019,39.72591835
04/01/2019,39.61701374
05/01/2019,39.51689194
06/01/2019,39.43057486
07/01/2019,39.35929247
08/01/2019,39.27690053
09/01/2019,39.18089771
10/01/2019,39.08709248
11/01/2019,39.00654267
12/01/2019,38.93621024
13/01/2019,38.87364415
14/01/2019,38.7946457
15/01/2019,38.72080481
16/01/2019,38.64819937
17/01/2019,38.55221806
18/01/2019,38.4544964
19/01/2019,38.36398632
20/01/2019,38.26039823
21/01/2019,38.16636489
22/01/2019,38.07212513
23/01/2019,37.96590413
24/01/2019,37.8664255
25/01/2019,37.7936546
26/01/2019,37.72547311
27/01/2019,37.64108555
28/01/2019,37.53806724
29/01/2019,37.44058626
30/01/2019,37.33533104
31/01/2019,37.22949266
01/02/2019,37.12791763
02/02/2019,37.02268329
03/02/2019,36.91904472
04/02/2019,36.8405177
05/02/2019,36.76242359
06/02/2019,36.69378142
07/02/2019,36.62052753
08/02/2019,36.55702953
09/02/2019,36.48564981
10/02/2019,36.4058111
11/02/2019,36.32474363
12/02/2019,36.24486903
13/02/2019,36.17527284
14/02/2019,36.09783975
15/02/2019,36.0251236
16/02/2019,35.96505275
17/02/2019,35.90293762
18/02/2019,35.83283674
19/02/2019,35.75821257
20/02/2019,35.69214755
21/02/2019,35.63202236
22/02/2019,35.563997
23/02/2019,35.50111683
24/02/2019,35.43228648
25/02/2019,35.49977001
26/02/2019,35.43419285
27/02/2019,35.36613241
28/02/2019,35.30090502
01/03/2019,35.37629405
02/03/2019,35.31839199
03/03/2019,35.2591389
04/03/2019,35.18107175
05/03/2019,35.10969629
06/03/2019,35.19681648
07/03/2019,35.12361085
08/03/2019,35.05173841
09/03/2019,34.98361978
10/03/2019,34.90776887
11/03/2019,34.97872876
12/03/2019,34.90633278
13/03/2019,34.98364232
14/03/2019,34.9226353
15/03/2019,34.87016047
16/03/2019,34.81368101
17/03/2019,34.73546483
18/03/2019,34.80960631
19/03/2019,34.74520702
20/03/2019,34.68941412
21/03/2019,34.63990049
