time,heat loss,
2019/1/1 0:00,-36814.40301,36814.40301
2019/1/1 1:00,-37213.92017,37213.92017
2019/1/1 2:00,-37618.33937,37618.33937
2019/1/1 3:00,-37159.99761,37159.99761
2019/1/1 4:00,-36490.86764,36490.86764
2019/1/1 5:00,-36115.86074,36115.86074
2019/1/1 6:00,-35892.81742,35892.81742
2019/1/1 7:00,-35782.52127,35782.52127
2019/1/1 8:00,-35287.41412,35287.41412
2019/1/1 9:00,-34162.39342,34162.39342
2019/1/1 10:00,-32549.61864,32549.61864
2019/1/1 11:00,-30743.21285,30743.21285
2019/1/1 12:00,-29461.32651,29461.32651
2019/1/1 13:00,-28973.57244,28973.57244
2019/1/1 14:00,-29816.72521,29816.72521
2019/1/1 15:00,-33120.70758,33120.70758
2019/1/1 16:00,-37373.23682,37373.23682
2019/1/1 17:00,-41049.77507,41049.77507
2019/1/1 18:00,-43402.75955,43402.75955
2019/1/1 19:00,-45290.04919,45290.04919
2019/1/1 20:00,-46802.33192,46802.33192
2019/1/1 21:00,-47032.72832,47032.72832
2019/1/1 22:00,-46608.70091,46608.70091
2019/1/1 23:00,-46650.36834,46650.36834
2019/1/2 0:00,-48439.61696,48439.61696
2019/1/2 1:00,-49699.44406,49699.44406
2019/1/2 2:00,-50841.62195,50841.62195
2019/1/2 3:00,-51505.84986,51505.84986
2019/1/2 4:00,-52719.10748,52719.10748
2019/1/2 5:00,-53537.75,53537.75
2019/1/2 6:00,-54304.92098,54304.92098
2019/1/2 7:00,-55204.44734,55204.44734
2019/1/2 8:00,-55349.05784,55349.05784
2019/1/2 9:00,-51807.32599,51807.32599
2019/1/2 10:00,-48858.74232,48858.74232
2019/1/2 11:00,-45483.6802,45483.6802
2019/1/2 12:00,-41419.87992,41419.87992
2019/1/2 13:00,-40211.52435,40211.52435
2019/1/2 14:00,-41513.01889,41513.01889
2019/1/2 15:00,-46728.80116,46728.80116
2019/1/2 16:00,-50025.43046,50025.43046
2019/1/2 17:00,-50662.69709,50662.69709
2019/1/2 18:00,-50986.23245,50986.23245
2019/1/2 19:00,-51025.44886,51025.44886
2019/1/2 20:00,-50861.23015,50861.23015
2019/1/2 21:00,-50915.15271,50915.15271
2019/1/2 22:00,-51503.39883,51503.39883
2019/1/2 23:00,-52258.31469,52258.31469
2019/1/3 0:00,-52799.99132,52799.99132
2019/1/3 1:00,-53187.25335,53187.25335
2019/1/3 2:00,-53603.92769,53603.92769
2019/1/3 3:00,-53893.14869,53893.14869
2019/1/3 4:00,-53726.47896,53726.47896
2019/1/3 5:00,-53554.90718,53554.90718
2019/1/3 6:00,-53390.68847,53390.68847
2019/1/3 7:00,-53128.42874,53128.42874
