,Temp_out_BTES
01/01/2019,39.95018709
02/01/2019,39.87616362
03/01/2019,39.8006414
04/01/2019,39.71696252
05/01/2019,39.64221623
06/01/2019,39.58139655
07/01/2019,39.53570313
08/01/2019,39.47901376
09/01/2019,39.40885413
10/01/2019,39.34102799
11/01/2019,39.28656642
12/01/2019,39.24241072
13/01/2019,39.20609414
14/01/2019,39.1534507
15/01/2019,39.10605979
16/01/2019,39.05999664
17/01/2019,38.99069649
18/01/2019,38.91979808
19/01/2019,38.85623861
20/01/2019,38.77975443
21/01/2019,38.71295884
22/01/2019,38.64609084
23/01/2019,38.56739929
24/01/2019,38.49559402
25/01/2019,38.45058668
26/01/2019,38.41024958
27/01/2019,38.35381949
28/01/2019,38.27890877
29/01/2019,38.20967414
30/01/2019,38.13281927
31/01/2019,38.05553612
01/02/2019,37.98266238
02/02/2019,37.90628238
03/02/2019,37.83164771
04/02/2019,37.78222365
05/02/2019,37.73333048
06/02/2019,37.69396812
07/02/2019,37.65008201
08/02/2019,37.61602004
09/02/2019,37.57416024
10/02/2019,37.52394208
11/02/2019,37.47259806
12/02/2019,37.42254721
13/02/2019,37.38285432
14/02/2019,37.33541958
15/02/2019,37.29278722
16/02/2019,37.26286013
17/02/2019,37.2309527
18/02/2019,37.19113933
19/02/2019,37.14689132
20/02/2019,37.11127384
21/02/2019,37.08165555
22/02/2019,37.04421213
23/02/2019,37.01197849
24/02/2019,36.97387105
25/02/2019,37.09806629
26/02/2019,37.06303335
27/02/2019,37.02559216
28/02/2019,36.99105324
01/03/2019,37.12097735
02/03/2019,37.09355833
03/03/2019,37.06484582
04/03/2019,37.01741432
05/03/2019,36.97675598
06/03/2019,37.11583339
07/03/2019,37.07315171
08/03/2019,37.03188591
09/03/2019,36.99444894
10/03/2019,36.94937003
11/03/2019,37.06970207
12/03/2019,37.02792068
13/03/2019,37.15348068
14/03/2019,37.12289791
15/03/2019,37.10089143
16/03/2019,37.07493234
17/03/2019,37.02733193
18/03/2019,37.14723911
19/03/2019,37.11328333
20/03/2019,37.08798465
21/03/2019,37.06900328
22/03/2019,37.20855045
23/03/2019,37.17467481
24/03/2019,37.13582532
25/03/2019,37.25917062
26/03/2019,37.21661305
27/03/2019,37.18020878
28/03/2019,37.14941654
29/03/2019,37.28279237
30/03/2019,37.26069679
31/03/2019,37.2243628
01/04/2019,37.34775377
02/04/2019,37.29946545
03/04/2019,37.24466179
04/04/2019,37.3568341
05/04/2019,37.31912221
06/04/2019,37.28232311
07/04/2019,37.25353257
08/04/2019,37.38919707
09/04/2019,37.35681356
10/04/2019,37.31367238
11/04/2019,37.26255544
12/04/2019,37.37593621
13/04/2019,37.32316509
14/04/2019,37.26807262
15/04/2019,37.23125744
16/04/2019,37.20353752
17/04/2019,37.18099236
18/04/2019,37.32757617
19/04/2019,37.31604146
20/04/2019,37.30581804
21/04/2019,37.2970057
22/04/2019,37.28903115
23/04/2019,37.28222802
24/04/2019,37.42271436
25/04/2019,37.3986891
26/04/2019,37.5342315
27/04/2019,37.50007584
28/04/2019,37.47353734
29/04/2019,37.45014905
30/04/2019,37.43098101
01/05/2019,37.41286271
02/05/2019,37.38874403
03/05/2019,37.35870739
04/05/2019,37.31663169
05/05/2019,37.27943892
06/05/2019,37.24430711
07/05/2019,37.21831779
08/05/2019,37.19447427
09/05/2019,37.16476951
10/05/2019,37.13850844
11/05/2019,37.1121467
12/05/2019,37.08853798
13/05/2019,37.06636771
14/05/2019,37.04779119
15/05/2019,37.03426064
16/05/2019,37.01521349
17/05/2019,36.99567789
18/05/2019,36.98449271
19/05/2019,36.97623054
20/05/2019,36.96998016
21/05/2019,36.96029386
22/05/2019,36.95314066
23/05/2019,36.95026044
24/05/2019,36.9487424
25/05/2019,36.95169471
26/05/2019,36.94989758
27/05/2019,36.93973239
28/05/2019,36.92662133
29/05/2019,36.91310668
30/05/2019,36.91916951
31/05/2019,36.92448464
01/06/2019,36.93396626
02/06/2019,36.94078528
03/06/2019,36.93479783
04/06/2019,36.93051895
05/06/2019,36.92309343
06/06/2019,36.91194819
07/06/2019,36.90047759
08/06/2019,36.88778359
09/06/2019,36.87673791
10/06/2019,36.85468224
11/06/2019,36.83484746
12/06/2019,36.81818288
13/06/2019,36.80395546
14/06/2019,36.79708114
15/06/2019,36.78820344
16/06/2019,36.78438004
17/06/2019,36.78621339
18/06/2019,36.78507322
19/06/2019,36.78582296
20/06/2019,36.78055502
21/06/2019,36.77889416
22/06/2019,36.78474866
23/06/2019,36.79276601
24/06/2019,36.80945041
25/06/2019,36.8257032
26/06/2019,36.83671938
27/06/2019,36.84317438
28/06/2019,36.85400323
29/06/2019,36.88358018
30/06/2019,36.89583905
01/07/2019,36.90323132
02/07/2019,36.9066731
03/07/2019,36.91513361
04/07/2019,36.93059709
05/07/2019,36.95051577
06/07/2019,36.96500475
07/07/2019,36.97522367
08/07/2019,37.15362244
09/07/2019,37.17372057
10/07/2019,37.1962987
11/07/2019,37.21777677
12/07/2019,37.39680036
13/07/2019,37.41196789
14/07/2019,37.4228537
15/07/2019,37.43107308
16/07/2019,37.45195128
17/07/2019,37.62850562
18/07/2019,37.6427518
19/07/2019,37.65266568
20/07/2019,37.66932465
21/07/2019,37.68322248
22/07/2019,37.71366604
23/07/2019,37.75521213
24/07/2019,37.79336633
25/07/2019,37.84347233
26/07/2019,37.86902467
27/07/2019,37.87909168
28/07/2019,37.88758219
29/07/2019,38.056418
30/07/2019,38.06799784
31/07/2019,38.07979836
01/08/2019,38.09536205
02/08/2019,38.26441033
03/08/2019,38.27903495
04/08/2019,38.29471902
05/08/2019,38.31048281
06/08/2019,38.32143209
07/08/2019,38.33065721
08/08/2019,38.34532236
09/08/2019,38.36509145
10/08/2019,38.37643215
11/08/2019,38.38468117
12/08/2019,38.52793026
13/08/2019,38.52623805
14/08/2019,38.52782768
15/08/2019,38.53530848
16/08/2019,38.6813997
17/08/2019,38.68960641
18/08/2019,38.68985102
19/08/2019,38.83032304
20/08/2019,38.82670261
21/08/2019,38.96926686
22/08/2019,38.97705952
23/08/2019,39.13142761
24/08/2019,39.15027143
25/08/2019,39.18158588
26/08/2019,39.21325233
27/08/2019,39.24387036
28/08/2019,39.25537472
29/08/2019,39.25596178
30/08/2019,39.39933403
31/08/2019,39.39820532
01/09/2019,39.39024192
02/09/2019,39.3848284
03/09/2019,39.38916431
04/09/2019,39.52228451
05/09/2019,39.50943263
06/09/2019,39.62743684
07/09/2019,39.611936
08/09/2019,39.59234914
09/09/2019,39.70601817
10/09/2019,39.69485278
11/09/2019,39.69743845
12/09/2019,39.83484795
13/09/2019,39.95660833
14/09/2019,39.94786525
15/09/2019,39.95030874
16/09/2019,39.94855343
17/09/2019,39.93219909
18/09/2019,39.9145862
19/09/2019,39.90667955
20/09/2019,40.02464651
21/09/2019,40.02640282
22/09/2019,40.02725693
23/09/2019,40.14718636
24/09/2019,40.14770299
25/09/2019,40.14667781
26/09/2019,40.14614014
27/09/2019,40.13517207
28/09/2019,40.12682404
29/09/2019,40.12412682
30/09/2019,40.23711115
01/10/2019,40.22635169
02/10/2019,40.1884503
03/10/2019,40.15697963
04/10/2019,40.1371696
05/10/2019,40.1159347
06/10/2019,40.09949268
07/10/2019,40.0807048
08/10/2019,40.0605495
09/10/2019,40.03368519
10/10/2019,40.01352316
11/10/2019,40.13007278
12/10/2019,40.10390497
13/10/2019,40.08204291
14/10/2019,40.18040192
15/10/2019,40.15193946
16/10/2019,40.25038224
17/10/2019,40.21700006
18/10/2019,40.19035789
19/10/2019,40.15663438
20/10/2019,40.11832483
21/10/2019,40.21215494
22/10/2019,40.17329988
23/10/2019,40.14124232
24/10/2019,40.1122426
25/10/2019,40.21949814
26/10/2019,40.19784239
27/10/2019,40.14792175
28/10/2019,40.2203186
29/10/2019,40.17440326
30/10/2019,40.12952557
31/10/2019,40.08710364
01/11/2019,40.19673552
02/11/2019,40.16590333
03/11/2019,40.12495549
04/11/2019,40.21103175
05/11/2019,40.17392066
06/11/2019,40.12199937
07/11/2019,40.19753253
08/11/2019,40.14181225
09/11/2019,40.08156733
10/11/2019,40.03151681
11/11/2019,40.10783308
12/11/2019,40.05369881
13/11/2019,40.00083273
14/11/2019,39.94425344
15/11/2019,40.02181638
16/11/2019,39.96590743
17/11/2019,39.91226848
18/11/2019,39.85359421
19/11/2019,39.79233073
20/11/2019,39.73723104
21/11/2019,39.81100717
22/11/2019,39.76809877
23/11/2019,39.72785061
24/11/2019,39.68804397
25/11/2019,39.65714694
26/11/2019,39.62812566
27/11/2019,39.72299076
28/11/2019,39.6799593
29/11/2019,39.74499135
30/11/2019,39.67403427
01/12/2019,39.60603049
02/12/2019,39.53438343
03/12/2019,39.47119223
04/12/2019,39.40768101
05/12/2019,39.35758238
06/12/2019,39.32829636
07/12/2019,39.28923762
08/12/2019,39.24997572
09/12/2019,39.19766057
10/12/2019,39.15290299
11/12/2019,39.09513289
12/12/2019,39.04380654
13/12/2019,38.99141381
14/12/2019,38.9379623
15/12/2019,38.88833808
16/12/2019,38.83839747
17/12/2019,38.78495128
18/12/2019,38.74033392
19/12/2019,38.71317621
20/12/2019,38.6685735
21/12/2019,38.62825149
22/12/2019,38.5846823
23/12/2019,38.5419334
24/12/2019,38.50505994
25/12/2019,38.44784225
26/12/2019,38.40332542
27/12/2019,38.35513291
28/12/2019,38.31606529
29/12/2019,38.26721357
30/12/2019,38.21690442
31/12/2019,38.17487711
