daytime,outlet temperature
1,39.79515578
2,39.5421009
3,39.28625851
4,39.01431239
5,38.76044066
6,38.53463087
7,38.33928196
8,38.12214909
9,37.87828318
10,37.63929137
11,37.42723536
12,37.23599736
13,37.06064345
14,36.85284126
15,36.65574916
16,36.46151721
17,36.22101546
18,35.977521
19,35.74890784
20,35.4946482
21,35.25996835
22,35.02534585
23,34.76727804
24,34.52318415
25,34.33288707
26,34.15213105
27,33.93938921
28,33.68988588
29,33.45193408
30,33.19894078
31,32.94528949
32,32.74213944
33,32.53167076
34,32.32439361
35,32.16733958
36,32.01115136
37,31.87386701
38,31.72735924
39,31.60036324
40,31.45760381
41,31.29792639
42,31.13579144
43,30.97604224
44,30.83684987
45,30.68198368
46,30.53655138
47,30.41640968
48,30.29217941
49,30.15197766
50,30.00272931
51,29.87059927
52,29.75034889
53,29.61429817
54,29.48853783
55,29.35087715
56,29.20705684
57,29.07590251
58,28.93978164
59,28.80932685
60,28.67783715
61,28.56203302
62,28.44352684
63,28.28739255
64,28.14464163
65,28.03091545
66,27.8845042
67,27.74075932
68,27.60452205
69,27.45282023
70,27.30026152
71,27.15546956
72,27.01613362
73,26.89411958
74,26.78916993
75,26.67621101
76,26.51977866
77,26.36886681
78,26.24006822
79,26.12848244
80,26.02945517
81,25.91963913
82,25.79124688
83,25.65275121
84,25.51180855
85,25.36622053
86,25.2327932
87,25.11046649
88,24.99080981
89,24.88632246
90,24.75321266
91,24.61483824
92,24.4581208
93,24.288153
94,24.12788148
95,23.99239566
96,23.85858794
97,23.74068194
98,23.62848948
99,23.5038115
100,23.35744527
101,23.19492263
102,23.03724854
103,22.87166049
104,22.7012089
105,22.56716434
106,22.45119922
107,22.34549324
108,22.25384747
109,22.17070367
110,22.09014149
111,22.01236613
112,21.93623439
113,21.86241823
114,21.76107538
115,21.65328172
116,21.5450943
117,21.4174462
118,21.30492607
119,21.19861261
120,21.10066284
121,21.00473992
122,20.89671957
123,20.77674292
124,20.63251952
125,20.4979129
126,20.36728739
127,20.25484268
128,20.14659402
129,20.02650383
130,19.91319575
131,19.79958068
132,19.69137704
133,19.58596142
134,19.48765884
135,19.39939398
136,19.30001958
137,19.19958998
138,19.11581639
139,19.0378557
140,18.96389356
141,18.88302074
142,18.80718544
143,18.73988456
144,18.67530197
145,18.6196719
146,18.55453575
147,18.47262274
148,18.38476545
149,18.29604681
150,18.24650742
151,18.19549393
152,18.15285142
153,18.10491105
154,18.03133375
155,17.96115644
156,17.88465607
157,17.8006716
158,17.71599044
159,17.6288116
160,17.54488512
161,17.43885026
162,17.33717771
163,17.24177873
164,17.15119707
165,17.07529405
166,16.99534869
167,16.92549661
168,16.86696536
169,16.80248253
170,16.7417825
171,16.669026
172,16.60347702
173,16.5529822
174,16.50684523
175,16.47810923
176,16.44857514
177,16.40861199
178,16.35955235
179,16.31928383
180,16.31663003
181,16.27938921
182,16.23244483
183,16.17761325
184,16.13285306
185,16.10216077
186,16.08045873
187,16.04795534
188,16.0069528
189,15.97459581
190,15.95414726
191,15.93874921
192,15.92123712
193,15.89720611
194,15.86785127
195,15.8299766
196,15.78680204
197,15.76902879
198,15.74689769
199,15.71662513
200,15.67772772
201,15.65238724
202,15.62158019
203,15.62398662
204,15.64876462
205,15.66691178
206,15.70916334
207,15.70241002
208,15.66472636
209,15.62392376
210,15.59895718
211,15.56505633
212,15.53164414
213,15.50582067
214,15.4875186
215,15.46055316
216,15.43576948
217,15.41120843
218,15.37706223
219,15.33950469
220,15.31288597
221,15.29655439
222,15.26341147
223,15.22411826
224,15.16160226
225,15.10299396
226,15.05095568
227,15.01072975
228,14.95869553
229,14.92053983
230,14.86646092
231,14.80729583
232,14.74603535
233,14.69546348
234,14.6576318
235,14.63575051
236,14.62071541
237,14.63074706
238,14.64160964
239,14.65049809
240,14.6212053
241,14.57008028
242,14.53363066
243,14.47964421
244,14.41195645
